To,From,Lowest Price,Two Week Lowest,Six Month Lowest
125-a,Cyclone,$5.79,$5.79,$5.79
125-a,Avenger Titan,$10.00,$10.00,$10.00
125-a,C8X Pisces Expedition,$13.00,$13.00,$13.00
125-a,X1 Velocity,$16.31,$16.31,$16.31
125-a,100-i,$17.00,$17.00,$17.00
125-a,URSA Rover,$17.00,$17.00,$17.00
125-a,X1 Force,$19.00,$19.00,$19.00
125-a,85X,$19.00,$19.00,$19.00
135-c,300-i,$10.00,$10.00,$10.00
135-c,125-a,$11.00,$11.00,$11.00
135-c,Mustang Gamma,$17.00,$17.00,$17.00
135-c,Cyclone,$19.00,$19.00,$19.00
135-c,100-i,$27.00,$27.00,$27.00
350-r,Nova Tonk,$10.00,$10.00,$10.00
350-r,Talon,$14.00,$14.00,$14.00
350-r,Talon Shrike,$14.00,$14.00,$14.00
350-r,Cutlass Red,$15.00,$15.00,$15.00
350-r,Freelancer,$19.00,$19.00,$19.00
350-r,Hornet F7C (Base,$19.00,$19.00,$19.00
350-r,Buccaneer,$20.00,$20.00,$20.00
350-r,Cutlass Black,$27.00,$30.00,$27.00
350-r,M50 Interceptor,$30.00,$30.00,$30.00
350-r,Hawk,$30.00,$30.00,$30.00
350-r,Reliant Mako News Van,$36.00,$36.00,$36.00
350-r,Gladius,$41.00,$41.00,$41.00
350-r,Hull-A,$41.00,$41.00,$41.00
350-r,Reliant Kore Mini Hauler,$46.00,$46.00,$46.00
350-r,Nomad,$51.00,$51.00,$51.00
350-r,Arrow,$56.00,$56.00,$56.00
400i,Corsair,$10.00,$10.00,$10.00
400i,Scorpius,$11.05,$11.05,$11.05
400i,Constellation Andromeda,$11.05,$11.05,$11.05
400i,Vanguard Hoplite,$19.00,$19.00,$19.00
400i,Terrapin,$20.00,$35.00,$20.00
400i,Defender,$25.00,$25.00,$25.00
400i,Railen,$25.00,$25.00,$25.00
400i,San'tok.yāi,$36.00,$36.00,$36.00
600i,Prowler,$20.00,$20.00,$20.00
600i,Hull-D,$30.00,$30.00,$30.00
600i,600i Touring,$42.63,$42.63,$42.63
600i,Genesis Starliner,$73.00,$73.00,$73.00
600i,Reclaimer,$73.00,$73.00,$73.00
600i,C2 Hercules,$73.00,$73.00,$73.00
600i,Reclaimer,$37.36,$37.36,$37.36
600i,Genesis Starliner,$37.36,$37.36,$37.36
600i,C2 Hercules,$37.36,$37.36,$37.36
600i,Valkyrie Liberator Edition,$67.00,$67.00,$67.00
600i,Valkyrie,$67.00,$67.00,$67.00
600i,Crucible,$110.00,$110.00,$110.00
600i,Vanduul Glaive,$93.00,$93.00,$93.00
600i,Starfarer Gemini,$103.00,$103.00,$103.00
600i,Constellation Phoenix,$110.00,$110.00,$110.00
600i,Hull-D,$110.00,$110.00,$110.00
600i,Prowler,$110.00,$110.00,$110.00
600i,Mole,$129.00,$129.00,$129.00
600i,Constellation Aquila,$134.00,$134.00,$134.00
600i,Eclipse,$162.00,$162.00,$162.00
A2,Hammerhead,$26.84,$26.84,$26.84
A2,Nautilus,$45.00,$45.00,$45.00
A2,Odyssey,$56.00,$56.00,$56.00
A2,Perseus,$82.00,$82.00,$82.00
A2,Merchantman,$108.00,$108.00,$108.00
A2,Carrack Ex. + C8X,$114.00,$114.00,$114.00
A2,Carrack Expedition,$134.00,$134.00,$134.00
Apollo,Vanguard Sentinel,$3.00,Price not changed in last 2 weeks.,$3.00
Apollo,Vanguard Warden,$16.31,$16.31,$16.31
Apollo,Mercury Star Runner,$19.00,$19.00,$19.00
Apollo,Corsair,$26.84,$26.84,$26.84
Apollo,Apollo Triage,$30.00,$30.00,$30.00
Apollo,Constellation Andromeda,$40.00,$40.00,$40.00
Apollo,Vanguard Hoplite,$52.00,$52.00,$52.00
Apollo,Terrapin,$62.00,$62.00,$62.00
Apollo,Vulcan,$83.00,$83.00,$83.00
Apollo,Hurricane,$88.00,$88.00,$88.00
Apollo,Constellation Taurus,$93.00,$93.00,$93.00
Apollo,Prospector,$130.00,$130.00,$130.00
Apollo,Cutlass Red,$146.00,Price not changed in last 2 weeks.,$146.00
Apollo,Scorpius,$11.05,$11.05,$11.05
Apollo,Constellation Andromeda,$11.05,$11.05,$11.05
Apollo,Vanguard Hoplite,$19.00,$19.00,$19.00
Apollo,Cutlass Steel,$30.00,$30.00,$30.00
Apollo,Terrapin,$35.00,$35.00,$35.00
Apollo,Defender,$35.00,$35.00,$35.00
Apollo,San'tok.yāi,$36.00,$36.00,$36.00
Apollo,Mercury Star Runner,$42.00,$42.00,$42.00
